GLASNO,A_WT,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,PBO,Li2O,MgO,SRO,BAO,ZNO,P2O5,GEO2,ZRO2,TIO2,TEO2,FemOn,RO20,RO100,RO150,RO300,Year,Refer_Id,Patent,SLeg,1,3,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,90,92
20391,19.06099,78,0,13,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,15.79532,12.05369,10.43387,7.270555,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,4.294478,0,0,23.92638,0,0,0,1.226994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20390,18.96216,78,0,13,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,15.18169,11.62529,10.08566,7.078944,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,4.907976,0,0,23.92638,0,0,0,0.613497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20446,18.84767,35,0,40,0,22.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,15.59077,11.77505,10.12316,6.8972,1988,34,FALSE,,0,0,0,21.05263,0,0,56.57895,0,1.315789,0,0,9.210526,0,0,0,11.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20437,18.00236,43,0,40,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,19.63619,14.93138,12.89457,8.916936,1988,34,FALSE,,0,0,0,21.05263,0,0,58.68421,0,2.105263,0,0,11.31579,0,0,0,6.842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20438,18.17192,43,0,40,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,18.35893,14.02458,12.14815,8.483713,1988,34,FALSE,,0,0,0,21.05263,0,0,58.68421,0,1.052632,0,0,11.31579,0,0,0,7.894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20440,16.94008,35,0,40,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12.0499,9.197371,7.962458,5.550819,1988,34,FALSE,,0,0,0,21.05263,0,0,56.57895,0,13.1579,0,0,9.210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20441,17.36399,35,0,40,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,15.19532,11.4537,9.833873,6.670556,1988,34,FALSE,,0,0,0,21.05263,0,0,56.57895,0,10.52632,0,0,9.210526,0,0,0,2.631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20442,17.7879,35,0,40,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,17.01803,12.83186,11.01958,7.480423,1988,34,FALSE,,0,0,0,21.05263,0,0,56.57895,0,7.894737,0,0,9.210526,0,0,0,5.263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20443,18.21181,35,0,40,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,18.09984,13.6173,11.67672,7.887002,1988,34,FALSE,,0,0,0,21.05263,0,0,56.57895,0,5.263158,0,0,9.210526,0,0,0,7.894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20444,18.42377,35,0,40,0,17.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,17.17258,13.0605,11.2803,7.803779,1988,34,FALSE,,0,0,0,21.05263,0,0,56.57895,0,3.947368,0,0,9.210526,0,0,0,9.210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
